"Story","Title","Result","Date","Stability","Duration (s)"
"Comment category test","Navigate to sign in page","SUCCESS","2023-05-25T10:30:03.696095+07:00[Asia/Ho_Chi_Minh]","0.0","7.63"
"Object management test","Navigate to sign in page","SUCCESS","2023-05-25T10:30:34.868893+07:00[Asia/Ho_Chi_Minh]","0.0","8.11"
