"Story","Title","Result","Date","Stability","Duration (s)"
"Example search by keyword story","Navigate to sign in page","SUCCESS","2023-05-19T11:38:16.487132+07:00[Asia/Ho_Chi_Minh]","0.0","6.63"
"Example search by keyword story","Log in and go to add","SUCCESS","2023-05-19T11:38:23.185396+07:00[Asia/Ho_Chi_Minh]","0.0","25.07"
